S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
789,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2524700,-,1711,Strata,31 to 35,1475,17-Apr
790,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1410000,-,1238,Strata,11 to 15,1139,17-Apr
791,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1069000,-,818,Strata,11 to 15,1307,17-Apr
792,IVORY HEIGHTS,JURONG EAST STREET 13,Condominium,22,OCR,100 yrs lease commencing from 1986,Resale,1,1310000,-,1668,Strata,06 to 10,785,17-Apr
793,CLOVER BY THE PARK,BISHAN STREET 25,Condominium,20,RCR,99 yrs lease commencing from 2007,Resale,1,1618000,-,1281,Strata,31 to 35,1263,17-Apr
794,LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 2001,Resale,1,1068000,-,1313,Strata,06 to 10,813,17-Apr
795,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1245000,-,1227,Strata,06 to 10,1015,17-Apr
796,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1225000,-,1259,Strata,01 to 05,973,17-Apr
797,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1070000,-,1227,Strata,16 to 20,872,17-Apr
798,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1100000,-,915,Strata,11 to 15,1202,17-Apr
799,WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,Condominium,25,OCR,99 yrs lease commencing from 1997,Resale,1,960888,-,1518,Strata,01 to 05,633,17-Apr
800,LAKEPOINT CONDOMINIUM,LAKEPOINT DRIVE,Condominium,22,OCR,99 yrs lease commencing from 1983,Resale,1,1200000,-,2217,Strata,01 to 05,541,17-Apr
801,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1045000,-,915,Strata,06 to 10,1142,17-Apr
802,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1073000,-,818,Strata,11 to 15,1312,17-Apr
803,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1057000,-,818,Strata,11 to 15,1292,17-Apr
804,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,987000,-,775,Strata,01 to 05,1274,17-Apr
805,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1049000,-,818,Strata,06 to 10,1282,17-Apr
806,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,920000,-,883,Strata,11 to 15,1042,17-Apr
807,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1550000,-,1324,Strata,01 to 05,1171,17-Apr
808,183 LONGHAUS,UPPER THOMSON ROAD,Apartment,20,RCR,Freehold,New Sale,1,1515200,-,947,Strata,01 to 05,1600,17-Apr
809,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,777200,-,463,Strata,11 to 15,1679,17-Apr
810,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1536000,-,1324,Strata,01 to 05,1160,17-Apr
811,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1488000,-,1173,Strata,01 to 05,1268,17-Apr
812,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1036000,-,818,Strata,06 to 10,1266,17-Apr
813,GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,Condominium,20,OCR,Freehold,Resale,1,1800000,-,1335,Strata,11 to 15,1349,17-Apr
814,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,2060000,-,2379,Strata,16 to 20,866,17-Apr
815,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1560250,-,1324,Strata,01 to 05,1178,17-Apr
816,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Resale,1,1260000,-,958,Strata,06 to 10,1315,17-Apr
817,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1500000,-,1399,Strata,01 to 05,1072,17-Apr
818,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,1050000,-,1249,Strata,01 to 05,841,17-Apr
819,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,102 yrs lease commencing from 1978,Resale,1,1250000,-,1615,Strata,21 to 25,774,17-Apr
820,RAFFLESIA CONDOMINIUM,BISHAN STREET 21,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,998000,-,915,Strata,06 to 10,1091,17-Apr
821,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1077000,-,818,Strata,11 to 15,1317,17-Apr
822,THE WOODGROVE,WOODGROVE DRIVE,Apartment,25,OCR,99 yrs lease commencing from 1996,Resale,1,670000,-,893,Strata,01 to 05,750,17-Apr
823,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1148000,-,904,Strata,01 to 05,1270,17-Apr
824,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1510000,-,2443,Strata,01 to 05,618,17-Apr
825,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1506456,-,1281,Strata,01 to 05,1176,17-Apr
826,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1190000,-,1163,Strata,11 to 15,1024,17-Apr
827,CASABLANCA,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2001,Resale,1,750000,-,936,Strata,11 to 15,801,17-Apr
828,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1170000,-,936,Strata,11 to 15,1249,17-Apr
829,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1070000,-,1227,Strata,16 to 20,872,17-Apr
830,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1260000,-,1227,Strata,06 to 10,1027,17-Apr
831,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1138000,-,1184,Strata,01 to 05,961,17-Apr
832,FAR HORIZON GARDENS,ANG MO KIO AVENUE 9,Condominium,20,OCR,99 yrs lease commencing from 1982,Resale,1,808000,-,1152,Strata,01 to 05,702,17-Apr
833,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1196000,-,904,Strata,11 to 15,1323,17-Mar
834,GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,Condominium,20,OCR,Freehold,Resale,1,1650000,-,1313,Strata,01 to 05,1256,17-Mar
835,THE WOODGROVE,WOODGROVE DRIVE,Apartment,25,OCR,99 yrs lease commencing from 1996,Resale,1,720000,-,1023,Strata,06 to 10,704,17-Mar
836,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1416839,-,1163,Strata,01 to 05,1219,17-Mar
837,WOODHAVEN,WOODGROVE AVENUE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,640000,-,624,Strata,01 to 05,1025,17-Mar
838,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1271021,-,1012,Strata,01 to 05,1256,17-Mar
839,BISHAN 8,BISHAN STREET 21,Condominium,20,RCR,99 yrs lease commencing from 1996,Resale,1,1350000,-,1163,Strata,06 to 10,1161,17-Mar
840,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,535000,-,517,Strata,01 to 05,1035,17-Mar
841,CENTRO RESIDENCES,ANG MO KIO AVENUE 8,Condominium,20,OCR,99 yrs lease commencing from 2007,Resale,1,1300000,-,926,Strata,26 to 30,1404,17-Mar
842,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,510000,-,431,Strata,01 to 05,1185,17-Mar
843,CLOVER BY THE PARK,BISHAN STREET 25,Condominium,20,RCR,99 yrs lease commencing from 2007,Resale,1,1525000,-,1216,Strata,26 to 30,1254,17-Mar
844,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,758300,-,463,Strata,06 to 10,1638,17-Mar
845,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1053000,-,818,Strata,06 to 10,1287,17-Mar
846,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1120000,-,1109,Strata,01 to 05,1010,17-Mar
847,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1350000,-,1378,Strata,16 to 20,980,17-Mar
848,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 years leasehold,New Sale,1,1234121,-,1012,Strata,01 to 05,1220,17-Mar
849,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,965000,-,861,Strata,06 to 10,1121,17-Mar
850,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,999000,-,721,Strata,11 to 15,1385,17-Mar
851,FABER GARDEN CONDOMINIUM,ANGKLONG LANE,Condominium,20,RCR,Freehold,Resale,1,2280000,-,2153,Strata,01 to 05,1059,17-Mar
852,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1003000,-,840,Strata,01 to 05,1195,17-Mar
853,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1183000,-,904,Strata,11 to 15,1308,17-Mar
854,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Resale,1,1650000,-,1356,Strata,06 to 10,1217,17-Mar
855,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,515000,-,431,Strata,01 to 05,1196,17-Mar
856,CENTRO RESIDENCES,ANG MO KIO AVENUE 8,Condominium,20,OCR,99 yrs lease commencing from 2007,Resale,1,1260000,-,1001,Strata,06 to 10,1259,17-Mar
857,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1202300,-,678,Strata,36 to 40,1773,17-Mar
858,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1202088,-,1227,Strata,06 to 10,980,17-Mar
859,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,985000,-,947,Strata,11 to 15,1040,17-Mar
860,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1397800,-,872,Strata,01 to 05,1603,17-Mar
861,THE WOODGROVE,WOODGROVE DRIVE,Apartment,25,OCR,99 yrs lease commencing from 1996,Resale,1,700000,-,1033,Strata,06 to 10,677,17-Mar
862,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2271800,-,1507,Strata,21 to 25,1508,17-Mar
863,CENTRO RESIDENCES,ANG MO KIO AVENUE 8,Condominium,20,OCR,99 yrs lease commencing from 2007,Resale,1,1250000,-,904,Strata,31 to 35,1382,17-Mar
864,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,868000,-,1076,Strata,06 to 10,806,17-Mar
865,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,965000,-,936,Strata,01 to 05,1030,17-Mar
866,LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 2001,Resale,1,1375000,-,1776,Strata,01 to 05,774,17-Mar
867,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1400700,-,1055,Strata,01 to 05,1328,17-Mar
868,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2085600,-,1518,Strata,01 to 05,1374,17-Mar
869,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 years leasehold,New Sale,1,745000,-,463,Strata,16 to 20,1610,17-Mar
870,FLAME TREE PARK,SIN MING AVENUE,Condominium,20,RCR,Freehold,Resale,1,1880000,-,1765,Strata,16 to 20,1065,17-Mar
871,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,655000,-,603,Strata,01 to 05,1087,17-Mar
872,SIN MING PLAZA,SIN MING ROAD,Apartment,20,RCR,Freehold,Resale,1,1230000,-,1259,Strata,01 to 05,977,17-Mar
873,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1240000,-,1259,Strata,11 to 15,985,17-Mar
874,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,969500,-,678,Strata,11 to 15,1430,17-Mar
875,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1470400,-,1055,Strata,01 to 05,1394,17-Mar
876,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2632200,-,1787,Strata,31 to 35,1473,17-Mar
877,SEASONS VIEW,PEMIMPIN DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1996,Resale,1,1180000,-,1141,Strata,16 to 20,1034,17-Mar
878,BISHAN POINT,BRIGHT HILL DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1500000,-,1485,Strata,21 to 25,1010,17-Mar
879,GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,Condominium,20,OCR,Freehold,Resale,1,1800000,-,1335,Strata,16 to 20,1349,17-Mar
880,COUNTRY GRANDEUR,LORONG PUNTONG,Condominium,20,RCR,Freehold,Resale,1,1605000,-,1442,Strata,11 to 15,1113,17-Mar
881,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Resale,1,1200000,-,947,Strata,06 to 10,1267,17-Mar
882,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2598600,-,1798,Strata,11 to 15,1446,17-Mar
883,IVORY HEIGHTS,JURONG EAST STREET 13,Condominium,22,OCR,100 yrs lease commencing from 1986,Resale,1,1280000,-,1701,Strata,11 to 15,753,17-Mar
884,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,880000,-,1076,Strata,01 to 05,818,17-Mar
885,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2296000,-,1518,Strata,26 to 30,1513,17-Mar
886,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1550000,-,1173,Strata,06 to 10,1321,17-Mar
887,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1180000,-,904,Strata,11 to 15,1305,17-Mar
888,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1229000,-,926,Strata,01 to 05,1328,17-Mar
889,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1176000,-,904,Strata,11 to 15,1301,17-Mar
890,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,785200,-,463,Strata,11 to 15,1696,17-Mar
891,CENTRO RESIDENCES,ANG MO KIO AVENUE 8,Condominium,20,OCR,99 yrs lease commencing from 2007,Resale,1,1225000,-,872,Strata,26 to 30,1405,17-Mar
892,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1184300,-,678,Strata,31 to 35,1746,17-Mar
893,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1166300,-,678,Strata,31 to 35,1720,17-Mar
894,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 years leasehold,New Sale,1,1392700,-,1055,Strata,01 to 05,1320,17-Mar
895,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,555000,-,517,Strata,01 to 05,1074,17-Mar
896,KINGSGROVE,ANG MO KIO AVENUE 1,Condominium,20,OCR,Freehold,Resale,1,1280000,-,1528,Strata,01 to 05,837,17-Mar
897,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1625000,-,1604,Strata,06 to 10,1013,17-Mar
898,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1149000,-,904,Strata,06 to 10,1271,17-Mar
899,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2859200,-,1948,Strata,31 to 35,1468,17-Mar
900,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,528000,-,431,Strata,01 to 05,1226,17-Mar
901,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1740000,-,1399,Strata,11 to 15,1243,17-Mar
902,BISHAN 8,BISHAN STREET 21,Condominium,20,RCR,99 yrs lease commencing from 1996,Resale,1,1230000,-,1163,Strata,01 to 05,1058,17-Mar
903,LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 2001,Resale,1,1085000,-,1249,Strata,06 to 10,869,17-Mar
904,THOMSON VIEW CONDOMINIUM,BRIGHT HILL DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1975,Resale,1,1530000,-,2024,Strata,11 to 15,756,17-Mar
905,BISHAN PARK CONDOMINIUM,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1991,Resale,1,1070000,-,1270,Strata,01 to 05,842,17-Mar
906,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1148300,-,678,Strata,31 to 35,1693,17-Mar
907,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1400000,-,1701,Strata,16 to 20,823,17-Mar
908,THOMSON IMPERIAL COURT,UPPER THOMSON ROAD,Apartment,20,RCR,Freehold,Resale,1,1668000,-,2228,Strata,01 to 05,749,17-Mar
909,ROSEWOOD SUITES,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2008,Resale,1,850000,-,1066,Strata,01 to 05,798,17-Mar
910,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,99 yrs lease commencing from 1981,Resale,1,1388800,-,1701,Strata,16 to 20,817,17-Mar
911,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1662000,-,1302,Strata,01 to 05,1276,17-Mar
912,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,753816,-,463,Strata,11 to 15,1629,17-Mar
913,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,790300,-,463,Strata,16 to 20,1707,17-Mar
914,THE WINDSOR,ONTARIO AVENUE,Condominium,20,RCR,Freehold,Resale,1,1960000,-,2217,Strata,01 to 05,884,17-Mar
915,LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 2001,Resale,1,1220000,-,1507,Strata,11 to 15,810,17-Mar
916,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,520000,-,517,Strata,01 to 05,1006,17-Mar
917,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1180000,-,1507,Strata,01 to 05,783,17-Mar
918,CASABLANCA,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2001,Resale,1,930000,-,1195,Strata,01 to 05,778,17-Mar
919,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Sub Sale,1,1608000,-,1367,Strata,06 to 10,1176,17-Mar
920,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,2650000,-,2228,Strata,16 to 20,1189,17-Mar
921,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,754300,-,463,Strata,06 to 10,1630,17-Mar
922,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1500000,-,1055,Strata,11 to 15,1422,17-Mar
923,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1091000,-,861,Strata,01 to 05,1267,17-Feb
924,183 LONGHAUS,UPPER THOMSON ROAD,Apartment,20,RCR,Freehold,New Sale,1,1835200,-,1184,Strata,01 to 05,1550,17-Feb
925,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 years leasehold,New Sale,1,1423600,-,1055,Strata,01 to 05,1350,17-Feb
926,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,528000,-,431,Strata,01 to 05,1226,17-Feb
927,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,99 yrs lease commencing from 1981,Resale,1,1220000,-,1582,Strata,01 to 05,771,17-Feb
928,CASABLANCA,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2001,Resale,1,950000,-,1184,Strata,16 to 20,802,17-Feb
929,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1202300,-,678,Strata,36 to 40,1773,17-Feb
930,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Sub Sale,1,1350000,-,969,Strata,16 to 20,1394,17-Feb
931,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1082500,-,1227,Strata,11 to 15,882,17-Feb
932,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1382812,-,1055,Strata,01 to 05,1311,17-Feb
933,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1360000,-,1119,Strata,16 to 20,1215,17-Feb
934,COUNTRY GRANDEUR,LORONG PUNTONG,Condominium,20,RCR,Freehold,Resale,1,1600000,-,1442,Strata,11 to 15,1109,17-Feb
935,CENTRO RESIDENCES,ANG MO KIO AVENUE 8,Condominium,20,OCR,99 yrs lease commencing from 2007,Resale,1,1420000,-,1001,Strata,26 to 30,1419,17-Feb
936,CLOVER BY THE PARK,BISHAN STREET 25,Condominium,20,RCR,99 yrs lease commencing from 2007,Resale,1,2200000,-,1765,Strata,36 to 40,1246,17-Feb
937,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1004000,-,775,Strata,06 to 10,1295,17-Feb
938,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,815000,-,1076,Strata,01 to 05,757,17-Feb
939,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,520000,-,431,Strata,01 to 05,1208,17-Feb
940,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,99 yrs lease commencing from 1978,Resale,1,1135000,-,1453,Strata,11 to 15,781,17-Feb
941,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1776000,-,1302,Strata,06 to 10,1364,17-Feb
942,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 years leasehold,New Sale,1,743000,-,463,Strata,16 to 20,1605,17-Feb
943,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1040000,-,775,Strata,16 to 20,1342,17-Feb
944,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1780000,-,1302,Strata,06 to 10,1367,17-Feb
945,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1465000,-,1055,Strata,01 to 05,1389,17-Feb
946,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1361000,-,1109,Strata,16 to 20,1228,17-Feb
947,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1477400,-,1055,Strata,01 to 05,1401,17-Feb
948,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1435203,-,1055,Strata,11 to 15,1361,17-Feb
949,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1200000,-,1227,Strata,06 to 10,978,17-Feb
