"URBAN REDEVELOPMENT AUTHORITY - RENTAL CONTRACTS OF PRIVATE RESIDENTIAL PROPERTIES"

"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq m)","Lease Commencement Date"
"513","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Feb-2017"
"514","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","120 to 130","Feb-2017"
"515","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","120 to 130","Feb-2017"
"516","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3800","120 to 130","Feb-2017"
"517","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2350","110 to 120","Feb-2017"
"518","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Feb-2017"
"519","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2450","110 to 120","Feb-2017"
"520","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","120 to 130","Feb-2017"
"521","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","110 to 120","Feb-2017"
"522","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","110 to 120","Feb-2017"
"523","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2100","120 to 130","Feb-2017"
"524","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","4000","130 to 140","Feb-2017"
"525","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Feb-2017"
"526","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Feb-2017"
"527","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Feb-2017"
"528","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","3800","130 to 140","Feb-2017"
"529","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","120 to 130","Feb-2017"
"530","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Feb-2017"
"531","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","110 to 120","Feb-2017"
"532","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Feb-2017"
"533","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Feb-2017"
"534","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Feb-2017"
"535","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3000","110 to 120","Feb-2017"
"536","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2900","100 to 110","Feb-2017"
"537","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","130 to 140","Feb-2017"
"538","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","120 to 130","Feb-2017"
"539","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","110 to 120","Feb-2017"
"540","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","120 to 130","Feb-2017"
"541","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2850","130 to 140","Feb-2017"
"542","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2000","90 to 100","Jan-2017"
"543","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","110 to 120","Jan-2017"
"544","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","130 to 140","Jan-2017"
"545","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3050","100 to 110","Jan-2017"
"546","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","130 to 140","Jan-2017"
"547","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Jan-2017"
"548","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2100","120 to 130","Jan-2017"
"549","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2680","110 to 120","Jan-2017"
"550","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2000","110 to 120","Jan-2017"
"551","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2000","110 to 120","Jan-2017"
"552","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2400","120 to 130","Jan-2017"
"553","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2200","110 to 120","Jan-2017"
"554","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2350","110 to 120","Jan-2017"
"555","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2200","110 to 120","Jan-2017"
"556","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","120 to 130","Jan-2017"
"557","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","110 to 120","Jan-2017"
"558","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3200","100 to 110","Jan-2017"
"559","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","120 to 130","Jan-2017"
"560","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","120 to 130","Jan-2017"
"561","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","130 to 140","Jan-2017"
"562","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2950","120 to 130","Jan-2017"
"563","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Jan-2017"
"564","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Jan-2017"
"565","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","110 to 120","Jan-2017"
"566","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2850","100 to 110","Jan-2017"
"567","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Jan-2017"
"568","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Jan-2017"
"569","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","4","3300","240 to 250","Jan-2017"
"570","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2500","120 to 130","Jan-2017"
"571","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Jan-2017"
"572","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3400","120 to 130","Jan-2017"
"573","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Jan-2017"
"574","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","110 to 120","Jan-2017"
"575","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Jan-2017"
"576","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","120 to 130","Jan-2017"
"577","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2900","120 to 130","Jan-2017"
"578","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3200","140 to 150","Jan-2017"
"579","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","110 to 120","Jan-2017"
"580","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2200","110 to 120","Jan-2017"
"581","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Jan-2017"
"582","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","120 to 130","Jan-2017"
"583","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","4500","200 to 210","Dec-2016"
"584","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","110 to 120","Dec-2016"
"585","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Dec-2016"
"586","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","110 to 120","Dec-2016"
"587","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2800","120 to 130","Dec-2016"
"588","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2150","100 to 110","Dec-2016"
"589","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Dec-2016"
"590","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","4000","130 to 140","Dec-2016"
"591","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Dec-2016"
"592","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","110 to 120","Dec-2016"
"593","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3000","100 to 110","Dec-2016"
"594","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2050","90 to 100","Dec-2016"
"595","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3050","100 to 110","Dec-2016"
"596","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","110 to 120","Dec-2016"
"597","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2900","130 to 140","Dec-2016"
"598","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","130 to 140","Dec-2016"
"599","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3150","110 to 120","Dec-2016"
"600","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","110 to 120","Dec-2016"
"601","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","130 to 140","Dec-2016"
"602","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2000","90 to 100","Dec-2016"
"603","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","120 to 130","Dec-2016"
"604","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","4","3600","140 to 150","Dec-2016"
"605","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3600","100 to 110","Dec-2016"
"606","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Dec-2016"
"607","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Dec-2016"
"608","FORESTVILLE","WOODLANDS DRIVE 16","25","Executive Condominium","4","1400","130 to 140","Dec-2016"
"609","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2950","100 to 110","Dec-2016"
"610","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","130 to 140","Dec-2016"
"611","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Dec-2016"
"612","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Dec-2016"
"613","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Dec-2016"
"614","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2900","100 to 110","Dec-2016"
"615","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","110 to 120","Dec-2016"
"616","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Dec-2016"
"617","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3600","120 to 130","Dec-2016"
"618","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2200","120 to 130","Dec-2016"
"619","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2000","80 to 90","Dec-2016"
"620","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2850","120 to 130","Dec-2016"
"621","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3000","130 to 140","Dec-2016"
"622","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3600","120 to 130","Dec-2016"
"623","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2850","110 to 120","Dec-2016"
"624","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2400","110 to 120","Dec-2016"
"625","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","130 to 140","Dec-2016"
"626","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3600","120 to 130","Dec-2016"
"627","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Dec-2016"
"628","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2200","110 to 120","Dec-2016"
"629","TWIN FOUNTAINS","WOODLANDS AVENUE 6","25","Executive Condominium","3","2500","100 to 110","Dec-2016"
"630","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2550","120 to 130","Dec-2016"
"631","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3200","140 to 150","Dec-2016"
"632","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","3900","130 to 140","Dec-2016"
"633","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Dec-2016"
"634","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3400","130 to 140","Dec-2016"
"635","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Dec-2016"
"636","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2900","110 to 120","Dec-2016"
"637","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Nov-2016"
"638","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","4000","130 to 140","Nov-2016"
"639","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2550","120 to 130","Nov-2016"
"640","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Nov-2016"
"641","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2800","120 to 130","Nov-2016"
"642","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2300","110 to 120","Nov-2016"
"643","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2200","120 to 130","Nov-2016"
"644","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","160 to 170","Nov-2016"
"645","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","130 to 140","Nov-2016"
"646","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3500","130 to 140","Nov-2016"
"647","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","120 to 130","Nov-2016"
"648","TWIN FOUNTAINS","WOODLANDS AVENUE 6","25","Executive Condominium","4","1500","140 to 150","Nov-2016"
"649","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","130 to 140","Nov-2016"
"650","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2350","110 to 120","Nov-2016"
"651","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3100","110 to 120","Nov-2016"
"652","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3100","150 to 160","Nov-2016"
"653","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3600","120 to 130","Nov-2016"
"654","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","900","110 to 120","Nov-2016"
"655","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2450","120 to 130","Nov-2016"
"656","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2600","110 to 120","Nov-2016"
"657","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","110 to 120","Nov-2016"
"658","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","4200","130 to 140","Nov-2016"
"659","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","110 to 120","Nov-2016"
"660","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Nov-2016"
"661","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2400","100 to 110","Nov-2016"
"662","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","1900","80 to 90","Nov-2016"
"663","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2750","120 to 130","Nov-2016"
"664","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2700","150 to 160","Nov-2016"
"665","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Nov-2016"
"666","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3500","120 to 130","Nov-2016"
"667","FORESTVILLE","WOODLANDS DRIVE 16","25","Executive Condominium","4","1300","130 to 140","Nov-2016"
"668","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","110 to 120","Nov-2016"
"669","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","130 to 140","Nov-2016"
"670","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Oct-2016"
"671","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2600","110 to 120","Oct-2016"
"672","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","120 to 130","Oct-2016"
"673","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Oct-2016"
"674","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2350","120 to 130","Oct-2016"
"675","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2850","110 to 120","Oct-2016"
"676","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","130 to 140","Oct-2016"
"677","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3200","100 to 110","Oct-2016"
"678","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Oct-2016"
"679","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","120 to 130","Oct-2016"
"680","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","100 to 110","Oct-2016"
"681","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Oct-2016"
"682","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2200","90 to 100","Oct-2016"
"683","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2380","120 to 130","Oct-2016"
"684","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","110 to 120","Oct-2016"
"685","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2900","130 to 140","Oct-2016"
"686","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","120 to 130","Oct-2016"
"687","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2100","90 to 100","Oct-2016"
"688","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2850","120 to 130","Oct-2016"
"689","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3300","180 to 190","Oct-2016"
"690","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","110 to 120","Oct-2016"
"691","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2550","110 to 120","Oct-2016"
"692","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2550","120 to 130","Oct-2016"
"693","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Oct-2016"
"694","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2800","100 to 110","Oct-2016"
"695","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3900","120 to 130","Oct-2016"
"696","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2550","120 to 130","Oct-2016"
"697","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","120 to 130","Oct-2016"
"698","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2600","100 to 110","Oct-2016"
"699","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2900","120 to 130","Oct-2016"
"700","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2300","100 to 110","Oct-2016"
"701","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3800","130 to 140","Oct-2016"
"702","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","130 to 140","Oct-2016"
"703","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Oct-2016"
"704","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Oct-2016"
"705","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2600","100 to 110","Oct-2016"
"706","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2400","110 to 120","Oct-2016"
"707","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","110 to 120","Oct-2016"
"708","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Oct-2016"
"709","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2200","90 to 100","Oct-2016"
"710","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Oct-2016"
"711","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Oct-2016"
"712","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3600","100 to 110","Oct-2016"
"713","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2470","120 to 130","Oct-2016"
"714","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2500","110 to 120","Oct-2016"
"715","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","120 to 130","Oct-2016"
"716","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3800","120 to 130","Oct-2016"
"717","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3100","120 to 130","Oct-2016"
"718","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2400","100 to 110","Sep-2016"
"719","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","120 to 130","Sep-2016"
"720","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","4","2900","110 to 120","Sep-2016"
"721","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2800","110 to 120","Sep-2016"
"722","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2100","90 to 100","Sep-2016"
"723","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2000","80 to 90","Sep-2016"
"724","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","4400","130 to 140","Sep-2016"
"725","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2100","90 to 100","Sep-2016"
"726","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3400","110 to 120","Sep-2016"
"727","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3150","100 to 110","Sep-2016"
"728","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","120 to 130","Sep-2016"
"729","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2700","120 to 130","Sep-2016"
"730","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3000","120 to 130","Sep-2016"
"731","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","120 to 130","Sep-2016"
"732","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","110 to 120","Sep-2016"
"733","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2800","120 to 130","Sep-2016"
"734","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3300","120 to 130","Sep-2016"
"735","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3200","110 to 120","Sep-2016"
"736","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Sep-2016"
"737","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","110 to 120","Sep-2016"
"738","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Sep-2016"
"739","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Sep-2016"
"740","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2800","130 to 140","Sep-2016"
"741","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2700","110 to 120","Sep-2016"
"742","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","110 to 120","Sep-2016"
"743","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","110 to 120","Sep-2016"
"744","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","110 to 120","Sep-2016"
"745","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2900","120 to 130","Sep-2016"
"746","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4000","130 to 140","Sep-2016"
"747","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3150","110 to 120","Sep-2016"
"748","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2800","110 to 120","Sep-2016"
"749","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2200","110 to 120","Sep-2016"
"750","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","3600","210 to 220","Sep-2016"
"751","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2200","90 to 100","Sep-2016"
"752","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3080","160 to 170","Sep-2016"
"753","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Sep-2016"
"754","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","120 to 130","Sep-2016"
"755","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Sep-2016"
"756","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","4","3200","110 to 120","Sep-2016"
"757","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","3100","200 to 210","Sep-2016"
"758","TWIN FOUNTAINS","WOODLANDS AVENUE 6","25","Executive Condominium","3","2100","110 to 120","Sep-2016"
"759","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2450","120 to 130","Sep-2016"
"760","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","110 to 120","Sep-2016"
"761","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Sep-2016"
"762","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2900","120 to 130","Aug-2016"
"763","FORESTVILLE","WOODLANDS DRIVE 16","25","Executive Condominium","3","1500","120 to 130","Aug-2016"
"764","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Aug-2016"
"765","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2725","130 to 140","Aug-2016"
"766","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Aug-2016"
"767","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","190 to 200","Aug-2016"
